sun son
isle aisle
sight site
tray trey
plane plain
pause paws
racket raquet
wine whine
mantle mantel
tea tee
cole coal
lapse laps
meat meet
past passed
rose rows
sale sail
pic pick
stair stare
waist waste
plains planes
peer pier
herd heard
road rode
main mane
sales sails
rains reins
seen scene
ware wear
weight wait
mail male
great grate
steal steel
boarder border
tied tide
pairs pears
suite sweet
peaking peeking
sell cell
board bored
tale tail
stares stairs
bear bare
wit whit
see sea
hole whole
pole poll
peace piece
wears wares
pair pear
